crn, date, julian,c_deep_mean,c_deep_StdDev,c_shallow_mean,StdDev,StdErr
335,32822,12231,1.95,0,2.225,0.205,0.145
336,52722,12291,2.47,0,2.575,0.205,0.145
337,71022,12335,1.87,0,3.05,0.24,0.17
338,73122,12356,1.84,0,2.715,0.247,0.175
339,90122,12388,1.9,0,3.05,0.141,0.1
340,12423,12533,1.65,0,2.09,0.014,0.01
341,32923,12597,1.68,0,2.255,0.134,0.095
342,52723,12656,2.05,0,2.26,0.269,0.19
343,81123,12732,1.07,0,2.735,0.233,0.165
344,91723,12769,1.71,0,2.94,0.085,0.06
345,100923,12791,1.52,0,2.17,0.24,0.17
346,110623,12819,1.98,0,2.7,0,0
347,112923,12842,1.34,0,2.3,0.028,0.02
348,122823,12871,1.83,0,2.28,0,0
