crn, date, julian, n_deep_mean, n_deep_StdDev, n_shallow_mean, n_shallow_StdDev
163,92904,5842,0.303,0,0.26,0
164,103104,5874,0.313,0,0.349,0.001
165,112804,5902,0.185,0,0.308,0
166,122104,5925,0.267,0,0.329,0
167,20205,5968,0.321,0,0.32,0.008
168,30505,5999,0.377,0,0.295,0.008
169,51805,6073,0.293,0,0.323,0
170,61505,6101,0.335,0,0.25,0.013
171,71705,6133,0.292,0,0.435,0.015
172,81405,6161,0.271,0,0.36,0.01
173,91005,6188,0.292,0,0.274,0
174,100905,6217,0.318,0,0.272,0
175,111205,6251,0.294,0,0.29,0
176,121305,6282,0.317,0,0.251,0.044
177,12506,6325,0.278,0,0.321,0.01
178,21506,6346,0.28,0,0.327,0
179,31006,6369,0.269,0,0.288,0
180,40206,6392,0.248,0,0.25,0
181,52706,6447,0.391,0,0.371,0
182,61406,6465,0.329,0,0.165,0
183,71306,6494,0.204,0,0.348,0
184,80906,6521,0.358,0,0.308,0
185,91606,6559,0.299,0,0.289,0
186,102106,6594,0.278,0,0.281,0.001
187,110906,6613,0.282,0,0.295,0
188,121006,6644,0.301,0,0.286,0
189,20707,6703,0.24,0,0.316,0.033
190,32107,6745,0.255,0,0.312,0
191,50507,6790,0.269,0,0.327,0.004
193,70807,6854,0.186,0,0.313,0
195,90307,6911,0.299,0,0.301,0
196,100307,6941,0.361,0,0.39,0
198,122107,7020,0.288,0,0.328,0.023
199,13008,7060,0.336,0,0.385,0
200,22408,7085,0.291,0,0.34,0.006
201,52808,7179,0.269,0,0.28,0.015
202,62608,7208,0.276,0,0.367,0
203,72708,7239,0.248,0,0.423,0
204,81708,7260,0.334,0,0.291,0
205,101108,7315,0.303,0,0.269,0
206,120108,7366,0.251,0,0.252,0
208,12109,7417,0.211,0,0.295,0.038
209,21809,7445,0.239,0,0.295,0
210,42909,7515,0.337,0,0.28,0
211,52809,7544,0.241,0,0.314,0.008
212,70409,7581,0.309,0,0.35,0
213,72509,7602,0.334,0,0.329,0
214,81909,7627,0.352,0,0.299,0.006
215,92509,7664,0.302,0,0.291,0.001
216,110409,7704,0.323,0,0.23,0
217,121009,7740,0.318,0,0.238,0.019
219,31010,7830,0.272,0.066,0.291,0.008
220,40710,7858,0.221,0,0.325,0.025
221,51910,7900,0.242,0,0.331,0
222,60910,7921,0.295,0,0.311,0.017
223,70910,7951,0.465,0,0.341,0
224,80810,7981,0.342,0,0.392,0
225,90410,8008,0.289,0,0.407,0.195
226,100410,8038,0.34,0,0.248,0
227,112110,8086,0.306,0,0.302,0
229,12911,8155,0.265,0,0.31,0.007
230,30111,8186,0.248,0,0.349,0
231,41211,8228,0.26,0,0.412,0
232,51011,8256,0.269,0,0.385,0
233,72011,8327,0.282,0,0.433,0
234,83011,8368,0.251,0,0.342,0.005
235,92711,8396,0.353,0,0.355,0.018
236,110511,8435,0.237,0,0.338,0
237,112911,8459,0.309,0,0.27,0
238,122011,8480,0.39,0,0.313,0
239,11912,8510,0.253,0,0.302,0
240,32512,8576,0.183,0,0.356,0.039
241,50212,8614,0.315,0,0.273,0
242,53112,8643,0.269,0,0.342,0.004
243,62712,8670,0.289,0,0.304,0
244,80112,8705,0.283,0,0.287,0
245,81812,8722,0.301,0,0.258,0
246,91512,8750,0.335,0,0.343,0.001
247,100812,8773,0.285,0,0.248,0
249,21313,8901,0.256,0,0.319,0
250,30713,8923,0.311,0,0.291,0.021
251,40613,8953,0.258,0,0.302,0
252,51813,8995,0.294,0,0.377,0
253,62613,9034,0.298,0,0.396,0
254,91213,9112,0.225,0,0.365,0
255,100213,9132,0.276,0,0.352,0
256,102813,9158,0.256,0,0.226,0
258,122113,9212,0.213,0,0.286,0
259,11614,9238,0.277,0,0.265,0
260,21514,9268,0.245,0,0.313,0.038
261,30614,9287,0.315,0,0.384,0
263,60114,9374,0.3,0,0.366,0.018
264,70114,9404,0.275,0,0.364,0.019
265,91514,9480,0.277,0,0.469,0
266,101414,9509,0.279,0,0.392,0.016
267,112214,9548,0.319,0,0.297,0.024
268,121714,9573,0.327,0,0.327,0
269,22515,9643,0.377,0,0.305,0.018
270,32915,9675,0.298,0,0.333,0
271,42215,9699,0.37,0,0.348,0.018
272,52415,9731,0.294,0,0.31,0
273,62015,9758,0.333,0,0.311,0
274,72015,9788,0.316,0,0.305,0
275,81315,9812,0.314,0,0.426,0.051
277,101415,9874,0.3,0,0.382,0
279,120915,9930,0.263,0,0.319,0
280,11316,9965,0.23,0,0.299,0.006
281,21016,9993,0.307,0,0.267,0
282,30916,10021,0.3,0,0.321,0
283,41516,10058,0.276,0,0.285,0
284,52916,10102,0.262,0,0.324,0
285,71216,10146,0.304,0,0.317,0.001
286,81016,10175,0.275,0,0.303,0
287,101616,10242,0.308,0,0.327,0
288,112716,10284,0.366,0,0.308,0
289,12417,10342,0.271,0,0.259,0
290,22317,10372,0.304,0,0.325,0
291,32917,10406,0.303,0,0.291,0
292,42617,10434,0.347,0,0.351,0
293,52417,10462,0.297,0,0.297,0.011
294,62117,10490,0.327,0,0.304,0
295,80917,10539,0.315,0,0.404,0
296,100717,10598,0.287,0,0.311,0
297,110917,10631,0.327,0,0.298,0
298,121317,10665,0.335,0,0.343,0.007
299,11818,10701,0.281,0,0.209,0
300,22618,10740,0.278,0,0.273,0
301,41818,10791,0.329,0,0.346,0.007
302,51618,10819,0.29,0,0.31,0
303,62718,10861,0.351,0,0.31,0
305,91118,10937,0.166,0,0.244,0
306,101318,10969,0.283,0,0.278,0
307,111718,11004,0.222,0,0.304,0
309,11619,11064,0.275,0,0.362,0
310,22019,11099,0.291,0,0.261,0.001
311,,,,,0.262,0.04
312,61219,11211,0.262,0,0.289,0.036
313,70219,11231,0.316,0,0.285,0.022
314,80319,11263,0.305,0,0.348,0.013
315,90519,11296,0.298,0,0.337,0.033
316,101819,11339,0.285,0,0.326,0.012
317,121919,11401,0.278,0,0.278,0.003
318,10820,11421,0.311,0,0.177,0
319,13120,11444,0.208,0,0.284,0.001
320,71620,11611,0.324,0,0.277,0.007
321,80820,11634,0.365,0,0.315,0
322,90120,11658,0.328,0,0.307,0.02
323,92720,11684,0.306,0,0.292,0.035
324,111920,11737,0.262,0,0.306,0.007
325,121920,11767,0.237,0,0.262,0
326,11321,11792,0.199,0,0.266,0.012
327,21721,11827,0.258,0,0.31,0.035
328,32421,11862,0.336,0,0.281,0.01
329,41421,11883,0.376,0,0.318,0.009
330,51721,11916,0.277,0,0.287,0.003
331,62321,11953,0.327,0,0.302,0.011
332,71721,11977,0.303,0,0.348,0
333,102921,12081,0.292,0,0.38,0
334,120521,12118,0.253,0,0.324,0
335,32822,12231,0.275,0,0.311,0.019
336,52722,12291,0.336,0,0.363,0.023
337,71022,12335,0.279,0,0.408,0.029
338,73122,12356,0.281,0,0.391,0.03
339,90122,12388,0.285,0,0.43,0.016
340,12423,12533,0.285,0,0.315,0.004
341,32923,12597,0.264,0,0.323,0.006
342,52723,12656,0.302,0,0.328,0.03
343,81123,12732,0.176,0,0.366,0.006
344,91723,12769,0.281,0,0.384,0.002
345,100923,12791,0.294,0,0.338,0.017
346,110623,12819,0.316,0,0.339,0
347,112923,12842,0.228,0,0.316,0.008
348,122823,12871,0.306,0,0.292,0
,,,,,,
,,,,,,
,,,0.282943574,,0.310936709,
